"group"	"lines"	"bugs"
"Scheme"	491	165
"Scheme"	490	165
"Scheme"	494	169
"Scheme"	505	173
"Scheme"	497	171
"Scheme"	476	162
"Scheme"	491	165
"Scheme"	509	172
"Scheme"	485	168
"Scheme"	499	171
"Scheme"	493	167
"Scheme"	508	173
"Scheme"	489	166
"Scheme"	492	170
"Scheme"	486	167
"Scheme"	527	177
"Scheme"	505	172
"Scheme"	495	163
"Scheme"	459	160
"Scheme"	502	168
"Scheme"	518	175
"Scheme"	480	163
"Scheme"	541	181
"Scheme"	485	167
"Scheme"	482	167
"Scheme"	517	176
"Scheme"	488	168
"Scheme"	519	177
"Scheme"	490	166
"Scheme"	494	167
"Scheme"	500	172
"Scheme"	480	164
"Scheme"	508	171
"Scheme"	501	170
"Scheme"	526	177
"Scheme"	504	170
"Scheme"	491	166
"Scheme"	489	166
"Scheme"	528	178
"Scheme"	509	173
"Scheme"	497	171
"Scheme"	523	177
"Scheme"	509	172
"Scheme"	510	174
"Scheme"	505	172
"Scheme"	465	158
"Scheme"	472	159
"Scheme"	520	179
"Scheme"	512	173
"Scheme"	474	163
"Python"	778	174
"Python"	740	168
"Python"	758	171
"Python"	764	174
"Python"	771	173
"Python"	694	156
"Python"	744	170
"Python"	792	177
"Python"	750	170
"Python"	757	170
"Python"	727	166
"Python"	791	178
"Python"	759	169
"Python"	775	175
"Python"	700	160
"Python"	722	164
"Python"	753	169
"Python"	734	168
"Python"	740	166
"Python"	790	177
"Python"	730	169
"Python"	762	173
"Python"	717	163
"Python"	740	167
"Python"	716	164
"Python"	763	171
"Python"	759	173
"Python"	736	165
"Python"	742	163
"Python"	740	167
"Python"	719	162
"Python"	772	175
"Python"	754	173
"Python"	741	167
"Python"	804	181
"Python"	767	173
"Python"	741	166
"Python"	752	171
"Python"	706	162
"Python"	805	181
"Python"	706	160
"Python"	755	170
"Python"	766	173
"Python"	756	173
"Python"	757	171
"Python"	743	168
"Python"	746	168
"Python"	769	174
"Python"	758	168
"Python"	742	167
